ID	P.Value	logFC	Gene.symbol	Gene.title
1453337_at	6.46e-01	-3.12e-01	Erich3	glutamate rich 3
1429226_at	6.46e-01	-1.52e-01	Gm33396///2310014F06Rik	predicted gene, 33396///RIKEN cDNA 2310014F06 gene
1441704_at	6.46e-01	6.37e-02		
1449713_at	6.46e-01	-6.62e-02	Cbx7	chromobox 7
1458265_at	6.46e-01	-1.54e-01		
1430595_at	6.46e-01	-4.39e-01	Gas2l1	growth arrest-specific 2 like 1
1439148_a_at	6.46e-01	1.33e-01	Pfkl	phosphofructokinase, liver, B-type
1418789_at	6.46e-01	-3.03e-01	Sntg2	syntrophin, gamma 2
1438002_at	6.46e-01	6.54e-02		
1416807_at	6.46e-01	-2.68e-02	Rpl36al///Rpl36a	ribosomal protein L36A-like///ribosomal protein L36A
1431355_s_at	6.46e-01	-8.49e-02	Trpm7	transient receptor potential cation channel, subfamily M, member 7
1418330_at	6.46e-01	3.80e-02	Ctcf	CCCTC-binding factor
1447344_at	6.46e-01	1.05e-01		
1439289_s_at	6.47e-01	1.15e-01	Pnmal1	PNMA-like 1
1433767_at	6.47e-01	-4.87e-02	Arel1	apoptosis resistant E3 ubiquitin protein ligase 1
1432414_at	6.47e-01	1.08e-01	Gm13999	predicted gene 13999
1448630_a_at	6.47e-01	-4.50e-02	Sdhc	succinate dehydrogenase complex, subunit C, integral membrane protein
1446855_at	6.47e-01	-5.17e-02	Vps13d	vacuolar protein sorting 13D
1445502_at	6.47e-01	-2.47e-01	Mir138-2///C78859	microRNA 138-2///expressed sequence C78859
1419001_at	6.47e-01	4.96e-01	Baat	bile acid-Coenzyme A: amino acid N-acyltransferase
1422123_s_at	6.47e-01	-9.31e-02	Ceacam2///Ceacam1	carcinoembryonic antigen-related cell adhesion molecule 2///carcinoembryonic antigen-related cell adhesion molecule 1
1427536_at	6.47e-01	-8.87e-02	Zfp125	zinc finger protein 125
1446921_at	6.47e-01	3.34e-01		
1419059_at	6.47e-01	-4.19e-01	Apcs	serum amyloid P-component
1447936_at	6.47e-01	-4.93e-02	2410006H16Rik	RIKEN cDNA 2410006H16 gene
1459358_at	6.47e-01	-1.77e-01		
1453653_at	6.47e-01	-3.53e-01	6330576A10Rik	RIKEN cDNA 6330576A10 gene
1451887_at	6.47e-01	8.71e-02	Lrba	LPS-responsive beige-like anchor
1433011_at	6.47e-01	-2.05e-01	AU041133	expressed sequence AU041133
1441538_at	6.47e-01	-3.45e-01		
1459313_at	6.47e-01	-2.78e-01		
1443074_at	6.47e-01	-1.08e-01		
1444180_at	6.47e-01	7.61e-02		
1452877_at	6.47e-01	4.20e-02	Hpf1	histone PARylation factor 1
1460493_at	6.47e-01	-1.67e-01	Atxn7l3b	ataxin 7-like 3B
1431321_at	6.47e-01	3.26e-01	P2rx3	purinergic receptor P2X, ligand-gated ion channel, 3
1458294_at	6.47e-01	-1.20e-01		
1448215_a_at	6.47e-01	-4.81e-02	Dpp3	dipeptidylpeptidase 3
1452185_at	6.47e-01	6.24e-02	Ipo8	importin 8
1440808_x_at	6.47e-01	4.26e-01	Cd163l1	CD163 molecule-like 1
1444060_at	6.47e-01	3.37e-01	2610027K06Rik	RIKEN cDNA 2610027K06 gene
1426021_a_at	6.47e-01	1.04e-01	Cdc7	cell division cycle 7 (S. cerevisiae)
1438060_at	6.47e-01	-4.32e-01	Npas3	neuronal PAS domain protein 3
1440401_at	6.47e-01	-4.23e-01		
1449658_at	6.47e-01	5.03e-01	AA536748	expressed sequence AA536748
1449525_at	6.48e-01	-3.61e-01	Fmo3	flavin containing monooxygenase 3
1459797_at	6.48e-01	-3.77e-01		
1430008_x_at	6.48e-01	-2.96e-01	Speer5-ps1	spermatogenesis associated glutamate (E)-rich protein 5, pseudogene 1
1429760_at	6.48e-01	4.55e-01	Rps6ka6	ribosomal protein S6 kinase polypeptide 6
1429111_at	6.48e-01	-3.50e-01	Tln2	talin 2
1445023_at	6.48e-01	3.25e-01		
1416278_a_at	6.48e-01	-3.53e-02	Atp5o	ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit
1440687_at	6.48e-01	-3.22e-01	Gm11476	predicted gene 11476
1445319_at	6.48e-01	3.89e-01	Gm36617	predicted gene, 36617
1458922_at	6.48e-01	-3.88e-01	Map3k9	mitogen-activated protein kinase kinase kinase 9
1458629_at	6.48e-01	-7.34e-02		
1428817_at	6.48e-01	5.74e-02	Mon2	MON2 homolog, regulator of endosome to Golgi trafficking
1417022_at	6.48e-01	-1.43e-01	Slc7a3	solute carrier family 7 (cationic amino acid transporter, y+ system), member 3
1448100_at	6.48e-01	-3.04e-02	4833439L19Rik	RIKEN cDNA 4833439L19 gene
1429854_at	6.48e-01	3.77e-01	2900092C05Rik	RIKEN cDNA 2900092C05 gene
1447258_at	6.48e-01	8.15e-02		
1434740_at	6.48e-01	-1.32e-01	Scarf2	scavenger receptor class F, member 2
1429308_at	6.48e-01	1.38e-01	Prdm16	PR domain containing 16
1428219_at	6.48e-01	-4.77e-02	Rybp-ps///Rybp	RING1 and YY1 binding protein, pseudogene///RING1 and YY1 binding protein
1425463_at	6.48e-01	-1.24e-01	Gata6	GATA binding protein 6
1443072_at	6.48e-01	3.64e-01		
1443057_at	6.48e-01	-7.90e-02	Gm31679	predicted gene, 31679
1454125_a_at	6.49e-01	3.20e-01	Daw1	dynein assembly factor with WDR repeat domains 1
1419678_at	6.49e-01	-6.01e-02	Lats2	large tumor suppressor 2
1439651_at	6.49e-01	-5.93e-02		
1433301_at	6.49e-01	2.15e-01	4930478M09Rik	RIKEN cDNA 4930478M09 gene
1432281_a_at	6.49e-01	3.57e-01	Itgb6	integrin beta 6
1427155_at	6.49e-01	5.47e-02	Fchsd1	FCH and double SH3 domains 1
1450777_at	6.49e-01	2.96e-02	Xrn2	5'-3' exoribonuclease 2
1430526_a_at	6.49e-01	4.20e-02	Smarca2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2
1435676_at	6.49e-01	5.93e-02	Cep164	centrosomal protein 164
1430729_at	6.49e-01	1.08e-01	Myg1	melanocyte proliferating gene 1
1453841_at	6.49e-01	-3.59e-01	2310050P20Rik	RIKEN cDNA 2310050P20 gene
1449140_at	6.49e-01	-4.29e-02	Nudcd2	NudC domain containing 2
1444967_at	6.49e-01	-4.77e-01		
1452537_at	6.49e-01	3.00e-01	Igk-V1	immunoglobulin kappa chain variable 1 (V1)
1444977_at	6.49e-01	-2.08e-01		
1424085_at	6.49e-01	3.49e-02	Ndufa4	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 4
1435209_at	6.49e-01	8.06e-02	Focad	focadhesin
1431164_at	6.49e-01	3.75e-01	Rragd	Ras-related GTP binding D
1428077_at	6.49e-01	-4.33e-01	Tmem163	transmembrane protein 163
1455509_at	6.49e-01	5.87e-02	Nacad	NAC alpha domain containing
1457199_at	6.49e-01	-6.56e-02		
1431167_at	6.49e-01	1.27e-01	Dgkg	diacylglycerol kinase, gamma
1450145_at	6.49e-01	3.17e-01	Ankef1	ankyrin repeat and EF-hand domain containing 1
1447019_at	6.49e-01	-3.57e-01	Cmah	cytidine monophospho-N-acetylneuraminic acid hydroxylase
1417626_at	6.49e-01	3.56e-01	Pde4dip	phosphodiesterase 4D interacting protein (myomegalin)
1425041_at	6.49e-01	4.20e-01	Lhx3	LIM homeobox protein 3
1429946_at	6.49e-01	1.15e-01	Ccdc141	coiled-coil domain containing 141
1436956_at	6.49e-01	-5.86e-02	Rnf214///AI842136	ring finger protein 214///expressed sequence AI842136
1434162_at	6.49e-01	-3.28e-02	Cacul1	CDK2 associated, cullin domain 1
1446704_at	6.49e-01	-9.40e-02		
1444160_at	6.49e-01	-1.01e-01		
1444478_at	6.49e-01	4.49e-02	Appl1	adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 1
1423988_at	6.50e-01	-2.64e-01	Ak1	adenylate kinase 1
1430728_at	6.50e-01	2.39e-01	Krtap5-5	keratin associated protein 5-5
1442735_at	6.50e-01	1.52e-01		
1439412_at	6.50e-01	-1.47e-01		
1436892_at	6.50e-01	6.70e-02	Spred2	sprouty-related, EVH1 domain containing 2
1422541_at	6.50e-01	8.29e-02	Ptprm	protein tyrosine phosphatase, receptor type, M
1436382_at	6.50e-01	-1.14e-01	Zbtb12	zinc finger and BTB domain containing 12
1431023_at	6.50e-01	-9.50e-02	Ric1	RAB6A GEF complex partner 1
1421272_at	6.50e-01	-3.09e-01	Vav2	vav 2 oncogene
1421163_a_at	6.50e-01	-5.10e-02	Nfia	nuclear factor I/A
1439624_at	6.50e-01	-1.57e-01	Ugt2b35	UDP glucuronosyltransferase 2 family, polypeptide B35
1449035_at	6.50e-01	3.57e-01	4930544G11Rik	RIKEN cDNA 4930544G11 gene
1426234_s_at	6.50e-01	-4.45e-02	Ap1ar	adaptor-related protein complex 1 associated regulatory protein
1453645_at	6.50e-01	-3.85e-01	2700046A07Rik	RIKEN cDNA 2700046A07 gene
1420166_at	6.50e-01	1.78e-01	Dntt	deoxynucleotidyltransferase, terminal
1459345_at	6.50e-01	4.10e-01		
1433244_at	6.50e-01	-1.63e-01	4930573G07Rik	RIKEN cDNA 4930573G07 gene
1432141_x_at	6.50e-01	2.72e-01	Gsdma2	gasdermin A2
1430864_at	6.50e-01	7.61e-02	Ttll9	tubulin tyrosine ligase-like family, member 9
1451831_at	6.50e-01	-2.42e-01	Osbpl6	oxysterol binding protein-like 6
1422151_at	6.50e-01	-2.31e-01	Gatsl2	GATS protein-like 2
1443275_at	6.50e-01	3.67e-01		
1447038_x_at	6.50e-01	-1.26e-01	Phip	pleckstrin homology domain interacting protein
1421573_at	6.50e-01	-3.88e-01	4930533N22Rik	RIKEN cDNA 4930533N22 gene
1444812_at	6.51e-01	-4.46e-01	Prdm10	PR domain containing 10
1449504_at	6.51e-01	5.19e-02	Kpna1	karyopherin (importin) alpha 1
1419310_s_at	6.51e-01	6.44e-02	Rfxank	regulatory factor X-associated ankyrin-containing protein
1427350_a_at	6.51e-01	8.02e-02	Gtpbp6	GTP binding protein 6 (putative)
1435111_at	6.51e-01	-3.91e-01	2310011E23Rik	RIKEN cDNA 2310011E23 gene
1428568_at	6.51e-01	5.93e-02	B230217C12Rik	RIKEN cDNA B230217C12 gene
1419139_at	6.51e-01	-3.61e-01	Gdf5	growth differentiation factor 5
1432106_at	6.51e-01	-2.91e-01	6530403M18Rik	RIKEN cDNA 6530403M18 gene
1441732_at	6.51e-01	1.16e-01		
1431573_at	6.51e-01	2.89e-01	Satl1	spermidine/spermine N1-acetyl transferase-like 1
1415711_at	6.51e-01	-2.59e-02	Arfgef1	ADP-ribosylation factor guanine nucleotide-exchange factor 1(brefeldin A-inhibited)
1421299_a_at	6.51e-01	4.06e-01	Lef1	lymphoid enhancer binding factor 1
1429654_at	6.51e-01	3.35e-01	Dppa2	developmental pluripotency associated 2
1446585_at	6.51e-01	-2.00e-01		
1418136_at	6.51e-01	-8.63e-02	Tgfb1i1	transforming growth factor beta 1 induced transcript 1
1455640_a_at	6.51e-01	-3.15e-02	Txn2	thioredoxin 2
1448883_at	6.51e-01	-4.10e-01	Lgmn	legumain
1447569_at	6.51e-01	8.28e-02	Kansl1	KAT8 regulatory NSL complex subunit 1
1426181_a_at	6.51e-01	4.23e-01	Il24	interleukin 24
1429598_at	6.51e-01	-2.70e-01	Perm1	PPARGC1 and ESRR induced regulator, muscle 1
1440654_at	6.51e-01	5.74e-02		
1457563_at	6.51e-01	-3.89e-01	Egfr	epidermal growth factor receptor
1442614_at	6.51e-01	-3.25e-01	Il1rap	interleukin 1 receptor accessory protein
1439993_at	6.51e-01	-8.90e-02		
1458981_at	6.51e-01	-5.81e-02		
1432601_at	6.51e-01	-6.91e-02	Kmt2e	lysine (K)-specific methyltransferase 2E
1439044_at	6.51e-01	1.08e-01	Zfp354c	zinc finger protein 354C
1450021_at	6.51e-01	-3.06e-02	Ubqln2	ubiquilin 2
1420346_at	6.51e-01	3.72e-01	Asb12	ankyrin repeat and SOCS box-containing 12
1457258_at	6.51e-01	3.02e-01	1700017L05Rik	RIKEN cDNA 1700017L05 gene
1443180_at	6.52e-01	7.71e-02		
1417426_at	6.52e-01	2.72e-02	Srgn	serglycin
1447638_at	6.52e-01	-4.22e-01	Afmid	arylformamidase
1428954_at	6.52e-01	-1.13e-01	Slc9a3r2	solute carrier family 9 (sodium/hydrogen exchanger), member 3 regulator 2
1442420_at	6.52e-01	7.49e-02		
1440742_at	6.52e-01	8.16e-02		
1444875_at	6.52e-01	1.36e-01		
1437967_at	6.52e-01	1.82e-01	Ccdc141	coiled-coil domain containing 141
1434965_at	6.52e-01	3.58e-02	R3hcc1l	R3H domain and coiled-coil containing 1 like
1459500_at	6.52e-01	-1.74e-01	C85351	expressed sequence C85351
1457529_x_at	6.52e-01	-2.03e-01		
1429730_at	6.52e-01	-5.28e-02	1810009N02Rik	RIKEN cDNA 1810009N02 gene
1420589_at	6.52e-01	1.21e-01	Has3	hyaluronan synthase 3
1437316_at	6.52e-01	-3.53e-01	Fbxw19	F-box and WD-40 domain protein 19
1460144_at	6.52e-01	-7.28e-02		
1431351_at	6.52e-01	-8.23e-02	Pvt1	plasmacytoma variant translocation 1
1458543_at	6.52e-01	-1.28e-01		
1446329_at	6.52e-01	-7.43e-02		
1444604_at	6.52e-01	-9.13e-02		
1444380_at	6.52e-01	5.76e-02	AI844869	expressed sequence AI844869
1433122_at	6.52e-01	-3.85e-01	2900069G24Rik	RIKEN cDNA 2900069G24 gene
1421509_at	6.52e-01	3.77e-01	Sorcs1	sortilin-related VPS10 domain containing receptor 1
1437437_x_at	6.52e-01	-4.39e-02	Dnpep	aspartyl aminopeptidase
1421575_at	6.52e-01	5.32e-01	2310057N15Rik	RIKEN cDNA 2310057N15 gene
1449974_at	6.52e-01	1.25e-01	Gapdhs	glyceraldehyde-3-phosphate dehydrogenase, spermatogenic
1455793_at	6.52e-01	1.89e-01	Fam149a	family with sequence similarity 149, member A
1419579_at	6.52e-01	1.75e-01	Slc7a12	solute carrier family 7 (cationic amino acid transporter, y+ system), member 12
1450072_at	6.53e-01	3.52e-02	Ash1l	ash1 (absent, small, or homeotic)-like (Drosophila)
1458104_a_at	6.53e-01	-1.85e-01	Ccdc153	coiled-coil domain containing 153
1423771_at	6.53e-01	-3.14e-01	Prkcdbp	protein kinase C, delta binding protein
1419080_at	6.53e-01	3.61e-01	Gdnf	glial cell line derived neurotrophic factor
1438813_at	6.53e-01	3.38e-01	Gm19395	predicted gene, 19395
1440760_at	6.53e-01	1.23e-01		
1419566_at	6.53e-01	-4.75e-01	Fank1	fibronectin type 3 and ankyrin repeat domains 1
1425864_a_at	6.53e-01	-3.11e-01	Sorcs1	sortilin-related VPS10 domain containing receptor 1
1432769_at	6.53e-01	1.43e-01	Slc44a1	solute carrier family 44, member 1
1437729_at	6.53e-01	-2.66e-02	Rpl27a	ribosomal protein L27A
1451581_at	6.53e-01	6.41e-02	Ppp6r2	protein phosphatase 6, regulatory subunit 2
1428066_at	6.53e-01	1.04e-01	Ccdc120	coiled-coil domain containing 120
1451573_a_at	6.53e-01	-3.19e-02	Stx4a	syntaxin 4A (placental)
1417860_a_at	6.53e-01	1.39e-01	Spon2	spondin 2, extracellular matrix protein
1425396_a_at	6.53e-01	-3.01e-01	Lck	lymphocyte protein tyrosine kinase
1433006_at	6.53e-01	-2.78e-01	5430430B14Rik	RIKEN cDNA 5430430B14 gene
1453522_at	6.53e-01	6.97e-02	Dtd2	D-tyrosyl-tRNA deacylase 2
1432537_at	6.53e-01	2.86e-01	Csmd2os	CUB and Sushi multiple domains 2, opposite strand
1418279_a_at	6.53e-01	-2.04e-01	Akap1	A kinase (PRKA) anchor protein 1
1417787_at	6.53e-01	2.26e-01	Dkkl1	dickkopf-like 1
1420575_at	6.53e-01	-1.46e-01	Mt3	metallothionein 3
1440121_at	6.53e-01	5.20e-02	St6galnac3	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 3
1449258_at	6.53e-01	-4.83e-02	Fam104a	family with sequence similarity 104, member A
1459654_at	6.53e-01	-2.82e-01		
1425235_s_at	6.53e-01	1.07e-01	Col20a1	collagen, type XX, alpha 1
1445166_at	6.54e-01	5.95e-02		
1436877_at	6.54e-01	-2.32e-01	Lrch2	leucine-rich repeats and calponin homology (CH) domain containing 2
1422736_at	6.54e-01	3.25e-02	Ranbp9	RAN binding protein 9
1421034_a_at	6.54e-01	-3.41e-02	Il4ra	interleukin 4 receptor, alpha
1449445_x_at	6.54e-01	2.46e-02	Mfap1b///Mfap1a	microfibrillar-associated protein 1B///microfibrillar-associated protein 1A
1423958_a_at	6.54e-01	-3.60e-02	Ttc33	tetratricopeptide repeat domain 33
1443103_at	6.54e-01	4.43e-01	D830046C22Rik///Gpr146	RIKEN cDNA D830046C22 gene///G protein-coupled receptor 146
1437601_at	6.54e-01	-3.99e-01	Otx1	orthodenticle homeobox 1
1452269_at	6.54e-01	3.12e-01	Sptbn2	spectrin beta, non-erythrocytic 2
1419203_at	6.54e-01	-7.04e-02	Map2k3os	mitogen-activated protein kinase kinase 3, opposite strand
1441523_at	6.54e-01	1.33e-01	Nf1	neurofibromatosis 1
1450928_at	6.54e-01	-2.01e-01	Id4	inhibitor of DNA binding 4
1417669_at	6.54e-01	5.05e-02	Abhd12	abhydrolase domain containing 12
1422878_at	6.54e-01	3.84e-01	Syt12	synaptotagmin XII
1448739_x_at	6.54e-01	-3.35e-02	Rps18	ribosomal protein S18
1449042_at	6.54e-01	2.99e-02	Ctcf	CCCTC-binding factor
1443264_at	6.54e-01	-2.39e-02	Ms4a2	membrane-spanning 4-domains, subfamily A, member 2
1438214_at	6.54e-01	-5.28e-02	Trps1	trichorhinophalangeal syndrome I (human)
1441822_at	6.54e-01	-5.69e-02	1700008F19Rik	RIKEN cDNA 1700008F19 gene
1434813_x_at	6.54e-01	7.11e-02	Wars	tryptophanyl-tRNA synthetase
1422364_at	6.54e-01	-2.82e-01	Olfr68	olfactory receptor 68
1418561_at	6.54e-01	4.18e-02	Sf3b1	splicing factor 3b, subunit 1
1419189_at	6.54e-01	-5.05e-02	Vti1a	vesicle transport through interaction with t-SNAREs 1A
1445089_at	6.54e-01	-1.94e-01	D16Ertd778e	DNA segment, Chr 16, ERATO Doi 778, expressed
1452388_at	6.54e-01	-2.18e-01	Hspa1a	heat shock protein 1A
1457744_at	6.54e-01	6.30e-02	Ddx46	DEAD (Asp-Glu-Ala-Asp) box polypeptide 46
1434087_at	6.54e-01	-7.92e-02	Mthfr	5,10-methylenetetrahydrofolate reductase
1453932_at	6.54e-01	-3.63e-01	Agbl4	ATP/GTP binding protein-like 4
1439665_at	6.54e-01	-2.43e-01	Lpar4	lysophosphatidic acid receptor 4
1445923_at	6.54e-01	3.11e-01		
1420864_at	6.54e-01	-9.48e-02	Zbtb14	zinc finger and BTB domain containing 14
1436834_x_at	6.54e-01	3.06e-02	Mdh1	malate dehydrogenase 1, NAD (soluble)
1435877_at	6.55e-01	-1.28e-01	Stk38l	serine/threonine kinase 38 like
1439749_at	6.55e-01	1.20e-01	Zap70	zeta-chain (TCR) associated protein kinase
1430113_at	6.55e-01	3.17e-01	Sh2d6	SH2 domain containing 6
1451400_at	6.55e-01	3.40e-02	Gemin8	gem (nuclear organelle) associated protein 8
1448433_a_at	6.55e-01	8.63e-02	Pcolce	procollagen C-endopeptidase enhancer protein
1423388_at	6.55e-01	-6.01e-02	Ap1g1	adaptor protein complex AP-1, gamma 1 subunit
1423940_at	6.55e-01	-3.71e-02	Yif1a	Yip1 interacting factor homolog A (S. cerevisiae)
1451182_s_at	6.55e-01	5.23e-02	Ankrd54	ankyrin repeat domain 54
1423526_at	6.55e-01	-3.08e-02	Arid3b	AT rich interactive domain 3B (BRIGHT-like)
1423417_at	6.55e-01	-3.25e-02	Smarcc1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1
1451805_at	6.55e-01	-8.63e-02	Phip	pleckstrin homology domain interacting protein
1438436_at	6.55e-01	-4.11e-01	Soga3	SOGA family member 3
1445958_at	6.55e-01	-4.09e-01		
1458636_at	6.55e-01	1.82e-01	Rnf219	ring finger protein 219
1436529_at	6.55e-01	-2.98e-01	Adgra1	adhesion G protein-coupled receptor A1
1429030_at	6.55e-01	1.78e-01	C1qtnf7	C1q and tumor necrosis factor related protein 7
1459255_at	6.55e-01	-1.55e-01	1700034P13Rik	RIKEN cDNA 1700034P13 gene
1434812_s_at	6.55e-01	-1.47e-01	Dok7	docking protein 7
1440997_at	6.55e-01	-3.08e-01	Tnrc6c	trinucleotide repeat containing 6C
1431191_a_at	6.55e-01	3.02e-01	Syt1	synaptotagmin I
1428578_s_at	6.55e-01	-3.77e-01	Ppfia4	protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 4
1438257_at	6.55e-01	-6.59e-02		
1418706_at	6.55e-01	3.35e-01	Slc38a3	solute carrier family 38, member 3
1444261_at	6.55e-01	-3.33e-01		
1437823_at	6.55e-01	3.84e-01		
1432558_a_at	6.55e-01	1.93e-01	Mal	myelin and lymphocyte protein, T cell differentiation protein
1426150_at	6.55e-01	3.06e-01	Gipc3	GIPC PDZ domain containing family, member 3
1433294_at	6.55e-01	-3.92e-01	Lcorl	ligand dependent nuclear receptor corepressor-like
1452442_at	6.55e-01	-3.49e-01	Usp13	ubiquitin specific peptidase 13 (isopeptidase T-3)
1422408_at	6.55e-01	-3.00e-01	Ifna4	interferon alpha 4
1430217_at	6.55e-01	-3.29e-01	Lrguk	leucine-rich repeats and guanylate kinase domain containing
1459584_at	6.55e-01	1.38e-01	Chmp3	charged multivesicular body protein 3
1438432_at	6.55e-01	-5.32e-02	Lnpep	leucyl/cystinyl aminopeptidase
1453926_at	6.55e-01	-2.12e-01	Rad54l	RAD54 like (S. cerevisiae)
1420215_x_at	6.56e-01	3.66e-01	1810012K16Rik	RIKEN cDNA 1810012K16 gene
1453584_at	6.56e-01	3.95e-01	Stk36	serine/threonine kinase 36
1451102_at	6.56e-01	-2.54e-02	Cnot8	CCR4-NOT transcription complex, subunit 8
1460578_at	6.56e-01	4.47e-01	Fgd5	FYVE, RhoGEF and PH domain containing 5
1441393_at	6.56e-01	-1.91e-01		
1439293_at	6.56e-01	-4.72e-02	Fam214a	family with sequence similarity 214, member A
1448953_at	6.56e-01	3.20e-02	Blm	Bloom syndrome, RecQ helicase-like
1436336_at	6.56e-01	6.08e-02	Ptrh1	peptidyl-tRNA hydrolase 1 homolog
1448513_a_at	6.56e-01	-2.38e-02	Npc2	Niemann-Pick type C2
1432912_at	6.56e-01	-3.73e-01	5730575I04Rik	RIKEN cDNA 5730575I04 gene
1427118_at	6.56e-01	-2.24e-01	Krt83	keratin 83
1430714_at	6.56e-01	-1.34e-01	Lrrc74b	leucine rich repeat containing 74B
1455902_x_at	6.56e-01	7.19e-02	Rhof	ras homolog family member F (in filopodia)
1440039_at	6.56e-01	1.24e-01		
1425207_at	6.56e-01	-1.27e-01	Slc22a22	solute carrier family 22 (organic cation transporter), member 22
1451308_at	6.56e-01	4.14e-01	Elovl4	elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 4
1422148_at	6.56e-01	3.77e-01	Matn3	matrilin 3
1429044_at	6.56e-01	-1.63e-01	Camsap2	calmodulin regulated spectrin-associated protein family, member 2
1444988_at	6.56e-01	-3.50e-01		
1418729_at	6.56e-01	-1.14e-01	Star	steroidogenic acute regulatory protein
1437794_at	6.56e-01	7.92e-02	Cabin1	calcineurin binding protein 1
1416572_at	6.56e-01	-2.65e-01	Mmp14	matrix metallopeptidase 14 (membrane-inserted)
1416305_at	6.56e-01	-1.09e-01	Sh3bp4	SH3-domain binding protein 4
1442146_at	6.56e-01	6.55e-02		
1455598_at	6.56e-01	6.31e-02	Usp30	ubiquitin specific peptidase 30
1450623_at	6.57e-01	-4.35e-02	Gnb2	guanine nucleotide binding protein (G protein), beta 2
1444466_at	6.57e-01	-1.99e-01	Ncald	neurocalcin delta
1437878_s_at	6.57e-01	-7.84e-02	Ttc14	tetratricopeptide repeat domain 14
1437695_at	6.57e-01	-3.02e-01	Prokr2	prokineticin receptor 2
1443765_at	6.57e-01	3.55e-01	Rap1gapos	RAP1 GTPase activating protein, opposite strand
1438978_x_at	6.57e-01	-5.45e-01	Ndn	necdin
1452376_at	6.57e-01	-1.12e-01	Zfp444	zinc finger protein 444
1456905_at	6.57e-01	-3.43e-01	Ccdc24///B4galt2	coiled-coil domain containing 24///UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 2
1421997_s_at	6.57e-01	1.92e-01	Itga3	integrin alpha 3
1436111_at	6.57e-01	3.01e-01	Tmem212	transmembrane protein 212
1432432_a_at	6.57e-01	-3.72e-01	Rab3c	RAB3C, member RAS oncogene family
1427422_at	6.57e-01	3.39e-01	Angptl8	angiopoietin-like 8
1451441_at	6.57e-01	-3.22e-01	Lypd8	LY6/PLAUR domain containing 8
1417495_x_at	6.57e-01	2.53e-01	Cp	ceruloplasmin
1421409_at	6.57e-01	-3.28e-01	Msi1	musashi RNA-binding protein 1
1416387_at	6.57e-01	-5.08e-02	Pip4k2c	phosphatidylinositol-5-phosphate 4-kinase, type II, gamma
1418517_at	6.57e-01	6.42e-02	Irx3	Iroquois related homeobox 3
1447049_at	6.57e-01	-1.10e-01		
1429849_at	6.57e-01	-3.22e-02	Kansl3	KAT8 regulatory NSL complex subunit 3
1458557_at	6.57e-01	-2.69e-01	Bcas3	breast carcinoma amplified sequence 3
1432875_at	6.57e-01	-2.91e-01	4632409D06Rik	RIKEN cDNA 4632409D06 gene
1446174_at	6.57e-01	1.37e-01	Gm4988	predicted gene 4988
1454972_at	6.57e-01	-9.41e-02	Atcay	ataxia, cerebellar, Cayman type
1444747_at	6.57e-01	8.39e-02		
1459609_at	6.58e-01	2.22e-01		
1446358_at	6.58e-01	-1.57e-01		
1454085_at	6.58e-01	4.21e-01	4933409D19Rik	RIKEN cDNA 4933409D19 gene
1419197_x_at	6.58e-01	-2.78e-01	Hamp	hepcidin antimicrobial peptide
1445394_at	6.58e-01	-3.93e-01		
1430514_a_at	6.58e-01	-6.99e-02	Cd99	CD99 antigen
1424628_a_at	6.58e-01	2.90e-02	Ndufv3	NADH dehydrogenase (ubiquinone) flavoprotein 3
1445411_at	6.58e-01	1.12e-01		
1451774_at	6.58e-01	-4.95e-01	Krtap4-16	keratin associated protein 4-16
1423391_at	6.58e-01	-2.60e-02	Git2	G protein-coupled receptor kinase-interactor 2
1441299_at	6.58e-01	3.51e-01	Lurap1l	leucine rich adaptor protein 1-like
